"zip","title","timeStamp","time"
19003,"EMS: FALL VICTIM","2016-06-08 14:06:01",2016-06-08 14:06:01
19041,"Traffic: HAZARDOUS ROAD CONDITIONS -","2016-06-08 14:08:01",2016-06-08 14:08:01
19406,"Traffic: VEHICLE ACCIDENT -","2016-06-08 14:08:01",2016-06-08 14:08:01
19006,"Traffic: ROAD OBSTRUCTION -","2016-06-08 14:08:02",2016-06-08 14:08:02
19066,"Traffic: HAZARDOUS ROAD CONDITIONS -","2016-06-08 14:11:01",2016-06-08 14:11:01
NA,"Fire: UNKNOWN TYPE FIRE","2016-06-08 14:12:00",2016-06-08 14:12:00
19006,"EMS: CARDIAC EMERGENCY","2016-06-08 14:12:01",2016-06-08 14:12:01
19046,"EMS: RESPIRATORY EMERGENCY","2016-06-08 14:12:01",2016-06-08 14:12:01
19006,"Traffic: VEHICLE ACCIDENT -","2016-06-08 14:12:01",2016-06-08 14:12:01
NA,"Traffic: ROAD OBSTRUCTION -","2016-06-08 14:16:03",2016-06-08 14:16:03
19072,"Traffic: HAZARDOUS ROAD CONDITIONS -","2016-06-08 14:16:05",2016-06-08 14:16:05
19046,"Fire: FIRE ALARM","2016-06-08 14:21:02",2016-06-08 14:21:02
19151,"Traffic: ROAD OBSTRUCTION -","2016-06-08 14:21:04",2016-06-08 14:21:04
19035,"Traffic: ROAD OBSTRUCTION -","2016-06-08 14:21:04",2016-06-08 14:21:04
19525,"Traffic: VEHICLE ACCIDENT -","2016-06-08 14:26:01",2016-06-08 14:26:01
19046,"Traffic: DISABLED VEHICLE -","2016-06-08 14:28:03",2016-06-08 14:28:03
19131,"Traffic: VEHICLE ACCIDENT -","2016-06-08 14:28:03",2016-06-08 14:28:03
19066,"Traffic: HAZARDOUS ROAD CONDITIONS -","2016-06-08 14:36:00",2016-06-08 14:36:00
19031,"EMS: RESPIRATORY EMERGENCY","2016-06-08 14:42:00",2016-06-08 14:42:00
19066,"EMS: SYNCOPAL EPISODE","2016-06-08 14:42:00",2016-06-08 14:42:00
19426,"EMS: VEHICLE ACCIDENT","2016-06-08 14:42:00",2016-06-08 14:42:00
NA,"Traffic: DISABLED VEHICLE -","2016-06-08 14:42:01",2016-06-08 14:42:01
19426,"Fire: FIRE ALARM","2016-06-08 14:46:01",2016-06-08 14:46:01
19426,"Fire: VEHICLE ACCIDENT","2016-06-08 14:46:01",2016-06-08 14:46:01
19426,"Traffic: VEHICLE ACCIDENT -","2016-06-08 14:46:02",2016-06-08 14:46:02
19406,"Fire: FIRE ALARM","2016-06-08 14:47:00",2016-06-08 14:47:00
NA,"EMS: GENERAL WEAKNESS","2016-06-08 14:52:01",2016-06-08 14:52:01
19046,"EMS: UNCONSCIOUS SUBJECT","2016-06-08 15:02:01",2016-06-08 15:02:01
19426,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:02:02",2016-06-08 15:02:02
19090,"Traffic: DISABLED VEHICLE -","2016-06-08 15:06:44",2016-06-08 15:06:44
19090,"EMS: CARDIAC EMERGENCY","2016-06-08 15:17:40",2016-06-08 15:17:40
NA,"EMS: VEHICLE ACCIDENT","2016-06-08 15:17:40",2016-06-08 15:17:40
19401,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:17:40",2016-06-08 15:17:40
19027,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:17:41",2016-06-08 15:17:41
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 15:17:42",2016-06-08 15:17:42
19464,"Fire: FIRE INVESTIGATION","2016-06-08 15:22:02",2016-06-08 15:22:02
19428,"Traffic: ROAD OBSTRUCTION -","2016-06-08 15:22:03",2016-06-08 15:22:03
19465,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:22:03",2016-06-08 15:22:03
19454,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:27:01",2016-06-08 15:27:01
19002,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:27:01",2016-06-08 15:27:01
19150,"EMS: FALL VICTIM","2016-06-08 15:36:01",2016-06-08 15:36:01
19401,"EMS: RESPIRATORY EMERGENCY","2016-06-08 15:37:01",2016-06-08 15:37:01
18964,"Fire: VEHICLE ACCIDENT","2016-06-08 15:42:00",2016-06-08 15:42:00
19131,"EMS: SUBJECT IN PAIN","2016-06-08 15:42:01",2016-06-08 15:42:01
18969,"EMS: VEHICLE ACCIDENT","2016-06-08 15:42:01",2016-06-08 15:42:01
19038,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:42:01",2016-06-08 15:42:01
18964,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:42:02",2016-06-08 15:42:02
19035,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:46:01",2016-06-08 15:46:01
19040,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:46:01",2016-06-08 15:46:01
19401,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:46:01",2016-06-08 15:46:01
19002,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:48:01",2016-06-08 15:48:01
19446,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:48:01",2016-06-08 15:48:01
NA,"Fire: VEHICLE ACCIDENT","2016-06-08 15:51:02",2016-06-08 15:51:02
NA,"EMS: VEHICLE ACCIDENT","2016-06-08 15:51:03",2016-06-08 15:51:03
19446,"Traffic: VEHICLE ACCIDENT -","2016-06-08 15:52:01",2016-06-08 15:52:01
19002,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:01:00",2016-06-08 16:01:00
19083,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:01:01",2016-06-08 16:01:01
19446,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:02:02",2016-06-08 16:02:02
19027,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:02:02",2016-06-08 16:02:02
NA,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:02:03",2016-06-08 16:02:03
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:06:01",2016-06-08 16:06:01
19403,"EMS: DIZZINESS","2016-06-08 16:07:00",2016-06-08 16:07:00
19040,"EMS: FALL VICTIM","2016-06-08 16:07:00",2016-06-08 16:07:00
NA,"EMS: SEIZURES","2016-06-08 16:07:00",2016-06-08 16:07:00
19401,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:07:01",2016-06-08 16:07:01
19010,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:11:01",2016-06-08 16:11:01
19083,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:11:02",2016-06-08 16:11:02
19512,"EMS: ALLERGIC REACTION","2016-06-08 16:22:00",2016-06-08 16:22:00
19004,"EMS: VEHICLE ACCIDENT","2016-06-08 16:22:00",2016-06-08 16:22:00
19038,"EMS: BACK PAINS/INJURY","2016-06-08 16:22:01",2016-06-08 16:22:01
19004,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:22:02",2016-06-08 16:22:02
19422,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:22:02",2016-06-08 16:22:02
19004,"Traffic: VEHICLE ACCIDENT -","2016-06-08 16:26:02",2016-06-08 16:26:02
19087,"EMS: CARDIAC EMERGENCY","2016-06-08 16:27:00",2016-06-08 16:27:00
19041,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:31:01",2016-06-08 16:31:01
19096,"EMS: HEAD INJURY","2016-06-08 16:32:01",2016-06-08 16:32:01
19464,"EMS: SUBJECT IN PAIN","2016-06-08 16:32:01",2016-06-08 16:32:01
19401,"EMS: MATERNITY","2016-06-08 16:37:00",2016-06-08 16:37:00
19403,"EMS: UNKNOWN MEDICAL EMERGENCY","2016-06-08 16:37:00",2016-06-08 16:37:00
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:41:01",2016-06-08 16:41:01
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:46:00",2016-06-08 16:46:00
NA,"EMS: UNRESPONSIVE SUBJECT","2016-06-08 16:47:00",2016-06-08 16:47:00
19095,"Traffic: DISABLED VEHICLE -","2016-06-08 16:47:01",2016-06-08 16:47:01
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 16:51:01",2016-06-08 16:51:01
19046,"Traffic: DISABLED VEHICLE -","2016-06-08 16:56:01",2016-06-08 16:56:01
19031,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:02:01",2016-06-08 17:02:01
19462,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:02:01",2016-06-08 17:02:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:02:01",2016-06-08 17:02:01
19464,"Traffic: ROAD OBSTRUCTION -","2016-06-08 17:06:01",2016-06-08 17:06:01
19401,"EMS: CARDIAC EMERGENCY","2016-06-08 17:07:00",2016-06-08 17:07:00
19468,"Fire: FIRE ALARM","2016-06-08 17:07:00",2016-06-08 17:07:00
19428,"EMS: BACK PAINS/INJURY","2016-06-08 17:07:01",2016-06-08 17:07:01
19046,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:12:01",2016-06-08 17:12:01
19462,"Fire: FIRE ALARM","2016-06-08 17:17:00",2016-06-08 17:17:00
19072,"Traffic: ROAD OBSTRUCTION -","2016-06-08 17:17:01",2016-06-08 17:17:01
19401,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:17:01",2016-06-08 17:17:01
19046,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:17:01",2016-06-08 17:17:01
19422,"EMS: SYNCOPAL EPISODE","2016-06-08 17:27:01",2016-06-08 17:27:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:27:01",2016-06-08 17:27:01
19462,"Traffic: ROAD OBSTRUCTION -","2016-06-08 17:31:01",2016-06-08 17:31:01
19438,"EMS: CARDIAC ARREST","2016-06-08 17:32:01",2016-06-08 17:32:01
NA,"Fire: ELECTRICAL FIRE OUTSIDE","2016-06-08 17:32:01",2016-06-08 17:32:01
19010,"Fire: FIRE ALARM","2016-06-08 17:37:01",2016-06-08 17:37:01
19422,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:41:01",2016-06-08 17:41:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:42:01",2016-06-08 17:42:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:42:01",2016-06-08 17:42:01
19150,"EMS: VEHICLE ACCIDENT","2016-06-08 17:46:36",2016-06-08 17:46:36
19150,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:46:37",2016-06-08 17:46:37
19003,"Traffic: ROAD OBSTRUCTION -","2016-06-08 17:46:38",2016-06-08 17:46:38
19454,"Traffic: ROAD OBSTRUCTION -","2016-06-08 17:46:38",2016-06-08 17:46:38
19422,"EMS: CARDIAC EMERGENCY","2016-06-08 17:52:00",2016-06-08 17:52:00
19027,"EMS: FALL VICTIM","2016-06-08 17:52:00",2016-06-08 17:52:00
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:52:01",2016-06-08 17:52:01
19406,"Traffic: VEHICLE ACCIDENT -","2016-06-08 17:52:02",2016-06-08 17:52:02
19401,"EMS: NAUSEA/VOMITING","2016-06-08 18:02:01",2016-06-08 18:02:01
19464,"EMS: VEHICLE ACCIDENT","2016-06-08 18:02:01",2016-06-08 18:02:01
19464,"Fire: VEHICLE ACCIDENT","2016-06-08 18:02:01",2016-06-08 18:02:01
19464,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:02:02",2016-06-08 18:02:02
19034,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:02:03",2016-06-08 18:02:03
19406,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:02:03",2016-06-08 18:02:03
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:06:01",2016-06-08 18:06:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:06:02",2016-06-08 18:06:02
19468,"Traffic: DISABLED VEHICLE -","2016-06-08 18:07:00",2016-06-08 18:07:00
NA,"Fire: FIRE POLICE NEEDED","2016-06-08 18:12:01",2016-06-08 18:12:01
19004,"Traffic: ROAD OBSTRUCTION -","2016-06-08 18:16:01",2016-06-08 18:16:01
19010,"Traffic: ROAD OBSTRUCTION -","2016-06-08 18:16:02",2016-06-08 18:16:02
19428,"Fire: BUILDING FIRE","2016-06-08 18:17:00",2016-06-08 18:17:00
19151,"EMS: DIZZINESS","2016-06-08 18:17:01",2016-06-08 18:17:01
19118,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:17:01",2016-06-08 18:17:01
19428,"EMS: BUILDING FIRE","2016-06-08 18:21:01",2016-06-08 18:21:01
NA,"Fire: FIRE POLICE NEEDED","2016-06-08 18:21:01",2016-06-08 18:21:01
19438,"EMS: FALL VICTIM","2016-06-08 18:22:04",2016-06-08 18:22:04
19004,"EMS: UNKNOWN MEDICAL EMERGENCY","2016-06-08 18:22:04",2016-06-08 18:22:04
19422,"Traffic: DISABLED VEHICLE -","2016-06-08 18:22:04",2016-06-08 18:22:04
19027,"Traffic: ROAD OBSTRUCTION -","2016-06-08 18:31:02",2016-06-08 18:31:02
19090,"Fire: FIRE ALARM","2016-06-08 18:42:00",2016-06-08 18:42:00
19027,"Traffic: ROAD OBSTRUCTION -","2016-06-08 18:42:01",2016-06-08 18:42:01
19090,"Fire: APPLIANCE FIRE","2016-06-08 18:47:00",2016-06-08 18:47:00
19446,"Fire: FIRE ALARM","2016-06-08 18:52:00",2016-06-08 18:52:00
NA,"EMS: VEHICLE ACCIDENT","2016-06-08 18:52:01",2016-06-08 18:52:01
19462,"EMS: HEAD INJURY","2016-06-08 18:52:02",2016-06-08 18:52:02
19401,"Traffic: DISABLED VEHICLE -","2016-06-08 18:52:02",2016-06-08 18:52:02
19027,"Traffic: VEHICLE ACCIDENT -","2016-06-08 18:56:00",2016-06-08 18:56:00
19428,"EMS: ANIMAL BITE","2016-06-08 19:12:01",2016-06-08 19:12:01
19038,"EMS: CARDIAC EMERGENCY","2016-06-08 19:12:01",2016-06-08 19:12:01
NA,"EMS: SUBJECT IN PAIN","2016-06-08 19:12:01",2016-06-08 19:12:01
NA,"Traffic: VEHICLE ACCIDENT -","2016-06-08 19:12:01",2016-06-08 19:12:01
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 19:16:01",2016-06-08 19:16:01
NA,"EMS: GENERAL WEAKNESS","2016-06-08 19:31:01",2016-06-08 19:31:01
NA,"EMS: SEIZURES","2016-06-08 19:32:00",2016-06-08 19:32:00
19422,"Traffic: DISABLED VEHICLE -","2016-06-08 19:36:01",2016-06-08 19:36:01
19401,"EMS: FALL VICTIM","2016-06-08 19:42:00",2016-06-08 19:42:00
19010,"Fire: FIRE ALARM","2016-06-08 19:42:00",2016-06-08 19:42:00
19034,"Traffic: VEHICLE ACCIDENT -","2016-06-08 19:42:00",2016-06-08 19:42:00
19096,"Traffic: ROAD OBSTRUCTION -","2016-06-08 19:46:00",2016-06-08 19:46:00
19003,"Traffic: VEHICLE ACCIDENT -","2016-06-08 19:46:00",2016-06-08 19:46:00
19010,"EMS: HEMORRHAGING","2016-06-08 19:47:01",2016-06-08 19:47:01
19002,"Traffic: ROAD OBSTRUCTION -","2016-06-08 19:47:01",2016-06-08 19:47:01
19428,"Fire: ELECTRICAL FIRE OUTSIDE","2016-06-08 19:51:00",2016-06-08 19:51:00
19012,"EMS: DIZZINESS","2016-06-08 19:57:01",2016-06-08 19:57:01
